bandon 抛弃，放弃v.
abandonment 放弃n.
abasement 滥用n.
abbreviation 缩写n.
abeyance 缓办，中止n.
abide 遵守v.
ability 能力n.
able 有能力的，能干的adj.
abnormal 反常的，变态的adj.
aboard 船(车)上adv.
abolish 废除，取消v.
abolition 废除，取消.
abortion 流产n.
abortive 无效果的，失败的adj.
about 关于，大约prep.
above 在...之上，高于prep.
above-mentioned 上述的adj.
abreast 并肩，并列adv.
bridge 省略，摘要v.
abroad 国外，海外adv.
abrogate 取消，废除.
abrogation 取消，废除.
abrupt 突然的，生硬的adj.
abruptly 突然地adv.
absence 缺席，缺乏n.
absent 缺席的，不存在adj.
absent-minded 心不在焉的adj.
absolute 完全的，绝对的adj.
absolutely 绝对，完全的dv.
absorb 吸收，专心于v.
absorption 吸收，专注n.
abstract 抽象的，难懂的adj.
abstraction 抽象，提取n.
absurd 荒唐的adj.
absurdity 荒唐(事)荒唐.
abundance 丰富，大量n.
abundant 丰富的，充裕的adj.
abuse 滥用，谩骂v.
academic 学院的，学术的adj.
academy 学院，研究院n.
accede 同意v.
accelerate 加速，加快v.
acceleration 加速，促进v.
accent 腔调n.
accept 接受，同意.
acceptable 可接受的，合意的adj.
acceptance 接受，承兑n.
access 接近，入口n.
accessible 可接近的adj.
accessory 附件，装饰品n.
accident 事故，意外之事n.
accidental 意外的，偶然的adj.
accidentally 偶尔，附带adv.
accommodate 提供便利，拆借v.
accommodation 便利，通融n.
accompaniment 伴侣，伴奏n.
accompany 伴随，伴奏.
accomplish 完成，达到v.
accomplishment 成就n.
accord 符合，协调v.
accordance 按照，与...一致n.
according 按照，据...说adj.
accordingly 相应地，从而adj.
account 账目n.
accountant 会计(师)会计.
accounting 会计学n.
accrue 产生，发生v.
accrued 增值的，应计的adj.
accumulate 积累，积蓄v.
accumulation 积累.
accumulative 积累的adj.
accuracy 准确(性)准确.
accurate 准确的，精密的adj.
accurately 准确地adj.
accusation 控告n.
accuse 告发，指责v.
accustom 使...习惯于v.
ache 觉得疼v.
achieve 完成，实现v.
achievement 完成，成就.
aching 疼痛的adj.
acid 酸n.
acknowledge 承认，鸣谢v.
acknowledgment 承认，鸣谢，回执n.
acquaint 使熟悉，相识n.
acquaintance 熟悉人，相识.
acquaintant 熟悉的adj.
acquire 求得，获得v.
acquisition 获得.
acre 英亩n.
acrobat 杂技演员n.
acrobatics 杂技演员.
across 横越prep.
act 行为，法令n.
action 行为，行动n.
activate 使活跃，开动v.
active 活跃的，积极的adj.
actively 积极地，活跃地adv.
activity 活动n.
actor 男演员n.
actress 女演员n.
actual 现实的，实际的adj.
actuality 实际的.
actually 实际上，居然adv.
acute 剧烈的，敏锐的adj.
ad (缩)广告n.
adapt 使适应，改编v.
adaptation 适应n.
add增添，加，补充v.
addition 增加，附加物n.
additional 增加的，附加的adj.
additive 附加的dj.
address 地址n.
adequate 足够的，恰当的adj.
adequately 恰当地adv.
adhere 粘附，坚持v.
adhesive 粘合剂n.
adjacent 邻近的adj.
adjective 形容词n.
adjoin 毗连v.
adjust 调整，修整v.
adjustable 可调整的adj.
adjustment 调整.
administer 管理v.
administration 行政管理，管理机关n.
administrative 行政管理的adj.
admirable 可钦佩的adj.
admiration 羡慕，钦佩n.
admire 钦佩，赞美v.
admission 准入，承认.
admit 承认，接纳v.
admittedly 明白地adv.
adolescence 青春期n.
adolescent 青春期的adj.
adopt 采用，采纳v.
adoption 采用.
adore 崇拜，敬慕v.
adorn 装饰，佩带v.
adornment 装饰(品)装饰.
adult 成年人n.
advance 前进n.,v.
advanced 先进的，发达的adj.
advantage 优点，优势n.
advantageous 有利的，有用的adj.
adventure 冒险，惊险活动n.
adventurous 冒险的adj.
adverb 副词n.
adverbial 副词的adj.
adversary 敌手，对手adj.
adverse 逆的，相反的v.
adversity 逆境，不幸n.
advertise 登广告，推销v.
advertisement 广告.
advertising 广告的adj.
advice 忠告，意见n.
advisable 适当的，可行的adj.
advise 劝告，通知v.
adviser 顾问n.
advocate 拥护，提倡v.
aerial 天空的，航空的adj.
aeroplane 飞机n.
affair 事件，事情n.
affect 影响，改变v.
affection 友爱，爱慕n.
affectionate 充满感情的adj.
affiliate 分号(公司)公司.
affirm 断言，肯定v.
affirmation 确定，确认n.
affirmative 肯定的adj.
afford 买得起，经受得起v.
affordable 买得起的adj.
afloat 航行中的adj.
aforesaid 上述的dj.
afraid 害怕的，恐怕adj.
africa 非洲n.
african 非洲的adj.
after 在...后prep.
afternoon 下午n.
afterward 后来adv.
again 再，又adv.
against 反对，对着prep.
age 年龄，时代n.
agency 代理，代理处n.
agent 代理人，试剂n.
aggravate 加重，恶化v.
aggravation 加重，恶化.
aggregate 合计(的)合计.,n.,adj.
aggregation 总计，集合n.
aggression 侵略n.
aggressive 侵略的，进取的adj.
aggressor 侵略者n.
agitate 鼓动v.
agitation 鼓动，不安n.
ago 以前adv....
agonize 使痛苦v.
agony 苦恼，痛苦n.
agree 同意，一致认为v.
agreeable 惬意的，易相处的adj.
agreeably 欣然，依照adv.
agreed 商定的adj.
agreement 一致，协议n.
agricultural 农业的adj.
agriculture 农业的.
ahead在... 前进dv.
aid 援助，救护n.,v.
aids (缩)艾滋病n.
ailment 疾病n.
aim 目的n.
aimless 无目的的adj.
air 空气，气派n.
